Kecamatan,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk
Pondokgede,254.1,0.44,9.67,15,100.7
Jatisampurna,131.3,2,5,7,101.2
Pondokmelati,132.6,0.42,5.05,12,101.3
Jatiasih,265.3,2.42,10.1,11,100.4
Bantargebang,111.4,1.35,4.24,6,103
Mustikajaya,233.7,3.11,8.89,9,102.7
Bekasi Timur,261.5,0.63,9.95,18,99.2
Rawalumbu,225.8,0.82,8.59,13,101.4
Bekasi Selatan,214.2,0.6,8.15,14,99.2
Bekasi Barat,286.1,0.58,10.89,19,99.9
Medan Satria,163.4,0.32,6.22,12,103.5
Bekasi Utara,347.8,1.12,13.24,17,102.3
Bekasi,2627.2,1.15,100,12,101.1